date,hexsha,author,insertions,deletions,lines,files,files_json
2020-07-29 19:37:43,c7e44a7e4caedc1bc33f5c8e481109c0ae002823,Bram Moolenaar,24,2,26,3,
2020-07-29 19:20:41,696ba23149eb5a7226e606e3fe6f15fdd064c5f7,Bram Moolenaar,38,41,79,5,
2020-07-29 18:00:38,1040956292a9f2c3d02fc08febd5acf349c85590,Bram Moolenaar,17,3,20,4,
2020-07-29 17:29:23,7b7f78f51dc5a2c307330af0d4e53faced34726f,Bram Moolenaar,4,0,4,2,
2020-07-29 17:18:00,33afa2447bdb0bdd15253c69a2cf6f9903685815,Bram Moolenaar,38,7,45,3,
2020-07-29 15:43:55,ac7bf8c4bfcbb157a2db6b939927bf11edb6ba7b,Bram Moolenaar,4,2,6,3,
2020-07-29 15:34:33,ed3c7e633944cf70754bc05504a7cd724fdca178,Bram Moolenaar,3,0,3,2,
2020-07-29 14:32:21,f9a343f8bda8fbe17ff045bef7342ffd6179e2f5,Bram Moolenaar,230,34,264,5,
2020-07-29 14:08:21,b61ef01cce2afd70fbfa2805336a26643109dfb7,Bram Moolenaar,133,143,276,9,
2020-07-29 13:03:01,45df2a01a79d562b59949383f79625bb8bd89a69,Bram Moolenaar,12,4,16,2,
2020-07-29 12:40:25,9898107f54a330c6d9629976250a393169c698ca,Bram Moolenaar,10,3,13,3,
2020-07-28 20:38:37,b5ed266037dea49024e00c4e1f9c89f3a9ebaa60,Bram Moolenaar,108,67,175,3,
2020-07-28 19:40:27,066b12e36c32a87725303c0f71e968eb3f9a9f32,Bram Moolenaar,8,3,11,2,
2020-07-28 19:15:07,68e30449a2954557d6542fdc2ccea32d4f8ddf9d,Bram Moolenaar,13,10,23,2,
2020-07-28 19:03:37,bd7f7c123db58dd7f50f4d1391577686d2f1bcc6,Bram Moolenaar,4,2,6,3,
2020-07-28 18:25:47,461f21242a8fc7f2fe9d1c723741eeda45f0ac72,Bram Moolenaar,8,2,10,3,
2020-07-28 18:07:27,ae616494d77e9930da703d65d12ac0abf6dc425f,Bram Moolenaar,79,27,106,8,
2020-07-27 20:40:37,0aac67a4314d72a29d3fbee91b6f0ba89e950462,Bram Moolenaar,43,6,49,4,
2020-07-27 19:43:28,b13ab99908097d54e21ab5adad22f4ad2a8ec688,Bram Moolenaar,40,10,50,7,
2020-07-27 18:02:41,622b3568fa1baf07671d31390815fb0a55a99891,Bram Moolenaar,190,198,388,12,
2020-07-27 17:47:07,6ca6ca48898750dd55cad13c88a9c1dfd7fdaad5,Bram Moolenaar,453,6,459,3,
2020-07-26 20:20:54,6d585f4c5c8d120f768dd61bfd32f6e57ad562a7,Bram Moolenaar,16,2,18,3,
2020-07-26 16:33:09,01865ade85d2508639e24aaca5948b09fb284a82,Bram Moolenaar,29,5,34,3,
2020-07-26 16:16:58,ace6132aa8c5fce9d4965e1f2e3a42071815b9de,Bram Moolenaar,17,0,17,3,
2020-07-26 15:56:25,4fc224ca1cf2a8991c5ea17682a742c6ad5ad0f3,Bram Moolenaar,37,11,48,6,
2020-07-26 15:00:44,2547aa930b59f5e2bcb70e81d5a57ed461e59b4f,Bram Moolenaar,768,474,1242,45,
2020-07-26 13:55:25,d3bb6a82a51d549bbd597bb4e94d8f074009be2a,Bram Moolenaar,6,4,10,2,
2020-07-26 13:51:06,cb4f69c2fd9ea81331c4aa54877fde612d182a51,Bram Moolenaar,3,1,4,2,
2020-07-26 13:37:02,a5d0423fa16f18b4576a2a07e50034e489587a7d,Bram Moolenaar,102,69,171,10,
2020-07-26 11:27:16,d66cdcd43a598825add743bc95642cd8ed705252,Bram Moolenaar,22,1,23,2,
2020-07-26 10:52:59,7d40b8a532fa2ce768f200ab118870d17875a7fe,Bram Moolenaar,130,205,335,9,
2020-07-25 17:38:18,37394ff75270877a032422abcd079a6732a29730,Bram Moolenaar,338,325,663,3,
2020-07-25 17:30:59,2d6b20d6a9a034b39f79a7dbb889fb5d859583ae,Bram Moolenaar,35,1,36,3,
2020-07-25 14:53:12,2afc3b4f776a4fe2bb22d0a79e77012d79b4ec1e,Bram Moolenaar,6,0,6,3,
2020-07-25 14:33:02,24aa48b7a265c24e18f0f978dfe0255e138e2b90,Bram Moolenaar,70,2,72,3,
2020-07-25 13:41:11,925e9fd6339981c1015410e1b6a6dd19e34f36cc,Bram Moolenaar,59,6,65,3,
2020-07-25 12:11:55,c841afff6a89592f23710c6da5b0fea89b240937,Bram Moolenaar,4,11,15,2,
2020-07-24 16:47:22,13e12b8a3c0fec29017f2dbdc6f57e372f8a7efd,Bram Moolenaar,12,1,13,3,
